;Pesquisador;Título;;;;;;;;;;;;;;;;;;;;;;;
10;André Luiz Favareto;Integrated Solution for Evaluating Emotional Expressions in Learning Management Systems Uma Revisão da Literatura sobre Soluções Ligadas às Expressões Emocionais em Ambientes Virtuais de Aprendizagem;;;;;;;;;;;;;;;;;;;;;;;
11;Andréa Antonieta Cotrim Silva;DO -ROSA E AZUL- AO -ELAS NÃO SE DEPILAM-: NUANCES DO FEMININO NO ATUAL GOVERNO BRASILEIRO Letramento Crítico (Visual e Racial): Desconstruindo representações unívocas e suas violências O pensamento fraco e a esquerda brasileira: entrevista com o filósofo italiano Gianni Vattimo;;;;;;;;;;;;;;;;;;;;;;;
12;Ariane Macedo Melo Ferraz;Design educacional complexo: Percepções sobre sua contribuição para o ensino-aprendizagem de línguas;;;;;;;;;;;;;;;;;;;;;;;
13;Beatriz Ferraz Diniz;O DISCURSO SOBRE A VADIAGEM NA PRAÇA DA SÉ (SP);;;;;;;;;;;;;;;;;;;;;;;
14;Bruno Secco Faquin;Prediction of ball direction in soccer penalty through kinematic analysis of the kicker;;;;;;;;;;;;;;;;;;;;;;;
15;Bruno Sérgio do Amaral;(S</i>)-ML-SA1 Activates Autophagy via TRPML1-TFEB Pathway A coleta seletiva no IFSP Câmpus São Paulo Pirituba: diagnóstico, implementação e educação ambiental Assessment of the Effects of Harvesting Period of Clusia fluminensis</i> Planch. and Triana Fruits on Neutralization of the Toxic Activities of Bothrops jararacussu</i> Snake Venom Direct Assay to Evaluate Phosphoenolpyruvate Carboxykinase Activity IMOBILIZAÇÃO ENZIMÁTICA: CONCEITO E EFEITOS NA PROTEÓLISE Inhibition of Leishmania amazonensis arginase by fucogalactan isolated from Agrocybe aegerita mushroom Integrated analytical workflow for chromatographic profiling and metabolite annotation of a cytotoxic Phorbas amaranthus extract Levetiracetam analogs: chemoenzymatic synthesis, absolute configuration assignment and evaluation of cholinesterase inhibitory activities Marine Octocoral Phyllogorgia dilatata: Identification of Sesquiterpenes and Activity as a Natural and Renewable Corrosion Inhibitor New substances of Equisetum hyemale L. extracts and their in vivo antitumoral effect against oral squamous cell carcinoma Phosphoenolpyruvate carboxykinase from T. cruzi magnetic beads affinity-based screening assays on crude plant extracts from Brazilian Cerrado The Brazilian octocoral Phyllogorgia dilatata as a source of cytotoxic compounds Umbu Fruit Peel as Source of Antioxidant, Antimicrobial and ?-Amylase Inhibitor Compounds;;;;;;;;;;;;;;;;;;;;;;;
16;Bárbara Beatriz Freitag;Análise do Termo Talento em Diferentes Áreas do Conhecimento Análise Sobre o Termo Talento em Diferentes Áreas do Conhecimento Mulheres Brasileiras 60+: desafios no trabalho e impactos da pandemia da COVID-19 TALENTOS EM GESTÃO E GESTÃO DE TALENTOS: ANÁLISE DA LITERATURA ACADÊMICA E DE PRÁTICAS CORPORATIVAS Trabalhadores Brasileiros 60+: características, motivações e desafios profissionais;;;;;;;;;;;;;;;;;;;;;;;
17;Carolina Aparecida de Freitas Dias;Avaliação de resultados em educação corporativa: um estudo com organizações que atuam no Brasil CARACTERÍSTICAS DA CARREIRA DOCENTE EM ADMINISTRAÇÃO: UMA REVISÃO DE LITERATURA CARACTERÍSTICAS DA CARREIRA DOCENTE EM ADMINISTRAÇÃO: UMA REVISÃO DE LITERATURA CARACTERÍSTICAS DA CARREIRA DOCENTE EM ADMINISTRAÇÃO: UMA REVISÃO DE LITERATURA CARACTERÍSTICAS DO EMPREENDEDORISMO FEMININO: UMA REVISÃO DE LITERATURA CLIMA ORGANIZACIONAL: UM ESTUDO DE CASO EM UM GRUPO DE TELECOMUNICAÇÕES Desenvolvimento de Recursos Humanos: uma Proposta de Framework de suas Políticas e Práticas Fatores de influência no desenvolvimento de competências dos estudantes de administração no Brasil: perspectivas segundo os coordenadores de curso Fatores de influência no desenvolvimento de competências dos estudantes de Administração no Brasil: perspectivas segundo os coordenadores de curso Fatores de influência no desenvolvimento de competências dos estudantes de Administração no Brasil: perspectivas segundo os coordenadores de curso LEARNING ANALYTICS: UMA REVISÃO INTEGRATIVA DA LITERATURA LIDERANÇA SERVIDORA: UMA ANÁLISE FÍLMICA SOBRE A VIDA DE CRISTO JESUS;;;;;;;;;;;;;;;;;;;;;;;
18;Caroline Inês Lisevski;Photocatalytic performance of Au/ZnO nanocatalysts for hydrogen production from ethanol PHYSICS WEEK ONLINE: RESHAPING POSSIBILITIES OF SCIENCE LEARNING AND RESEARCH SHARING WITHIN THE PANDEMIC CONTEXT IN BRAZIL SmartHearing Aid: Um simulador de aparelho auditivo para smartphone;;;;;;;;;;;;;;;;;;;;;;;
19;Claudia Almerinda de Souza Oliveira;APLICAÇÃO DE UMA REDE NEURAL ARTIFICIAL YOLO PARA CONTROLE DE ESTOQUE POR IMAGENS EM UMA REVENDA DE AUTOPEÇAS O Proeja no IFSP e uma perspectiva para o Câmpus São Paulo Pirituba PERCEPÇÕESDA APLICAÇÃO DOPROJETO ?EMPODERAMENTO FEMININO ATRAVÉS DA GERAÇÃO DE RENDA PELAS VENDAS?;;;;;;;;;;;;;;;;;;;;;;;
20;Danilo Marcondes de Alcantara;Reflexões acerca da segregação socioespacial e da violência em Londrina - PR;;;;;;;;;;;;;;;;;;;;;;;
21;Davi Munhoz Benati;In Situ</i> Observation of Semisolid Fe-2.5C-1.5Si Gray Cast Iron Study on the Microstructure and Liquid Phase Formation in a Semisolid Gray Cast Iron Thermodynamic evaluation of the thixoformability of Al-Si alloys Viability study of production of enclosed impellers for centrifugal pumps by investment casting process;;;;;;;;;;;;;;;;;;;;;;;
22;Elisangela Lizardo de Oliveira;Divulgação Científica na Escola e Satisfação Cultural: Uma análise do projeto Banca da Ciência Sob o Olhar das Lentes: Uma Proposta de Divulgação Científica na Escola a partir do Projeto Banca da Ciência.;;;;;;;;;;;;;;;;;;;;;;;
